seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1	37.942557	-5.760211	615.25	615.25	0.00	-9.91	3.38	22.18	0	352	114	142	0	80.00	14.59	10.80	14.00	6.26	0.000	0.000	1	3
2	37.942755	-5.760244	616.00	616.00	0.00	-9.77	1.59	94.09	0	348	95	119	0	80.00	20.46	14.00	20.38	18.88	0.002	0.022	1	4
3	37.943583	-5.760473	617.50	617.50	0.00	-9.66	3.04	90.38	0	345	110	85	0	80.00	15.08	20.38	15.08	20.30	0.007	0.116	24	3
4	37.944369	-5.760740	620.25	620.25	0.00	-9.72	4.71	31.91	0	346	128	109	0	80.00	11.89	15.08	11.89	8.66	0.013	0.207	24	2
5	37.944648	-5.760826	621.75	621.75	0.00	-9.71	5.25	14.31	0	346	134	146	0	80.00	11.17	11.89	11.89	4.33	0.015	0.239	4	0
6	37.944773	-5.760865	622.50	622.50	0.00	-9.76	7.16	63.03	0	348	156	151	0	80.00	9.46	11.89	9.46	23.47	0.016	0.253	24	2
7	37.945326	-5.761020	627.00	627.00	0.00	-9.98	6.07	16.50	0	356	143	152	0	80.00	10.51	9.46	10.51	5.81	0.023	0.316	14	1
8	37.945474	-5.761033	628.00	628.00	0.00	-9.86	8.22	15.25	40	350	160	146	0	80.00	8.48	10.51	8.48	6.10	0.024	0.332	24	2
9	37.945609	-5.761062	629.25	629.25	0.00	-8.49	5.79	4.32	16	32	140	160	0	80.00	9.67	8.48	9.22	1.71	0.026	0.348	1	1
10	37.945642	-5.761036	629.50	629.50	0.00	-9.37	5.86	4.27	20	20	141	160	0	80.00	10.23	9.22	9.79	1.58	0.027	0.352	1	1
11	37.945678	-5.761019	629.75	629.75	0.00	-9.91	7.05	5.39	21	8	155	158	0	80.00	9.64	9.79	9.79	1.98	0.027	0.356	4	0
12	37.945726	-5.761011	630.00	630.13	0.13	-9.91	4.96	5.27	21	352	131	160	0	80.00	11.73	9.79	10.87	1.82	0.028	0.362	1	2
13	37.945773	-5.761019	630.50	630.39	-0.11	-9.36	4.96	4.75	20	339	131	126	0	80.00	11.21	10.87	10.87	1.57	0.028	0.367	4	0
14	37.945813	-5.761038	630.75	630.63	-0.12	-8.28	2.65	4.69	21	326	106	133	0	80.00	14.38	10.87	11.71	1.44	0.028	0.372	1	1
15	37.945848	-5.761068	630.75	630.75	0.00	-6.85	0.00	4.70	0	313	48	60	0	46.73	25.00	11.71	12.39	1.35	0.029	0.376	1	1
16	37.945877	-5.761107	630.75	630.75	0.00	-9.22	-1.19	21.07	74	337	-42	60	0	37.57	37.57	12.39	17.37	5.03	0.029	0.381	1	3
17	37.946052	-5.761200	630.50	630.50	0.00	-9.36	0.00	20.64	0	339	34	60	0	80.00	25.00	17.37	19.00	4.07	0.031	0.402	1	2
18	37.946226	-5.761283	630.50	630.50	0.00	-9.64	-0.86	233.74	0	345	0	25	0	80.00	42.17	19.00	28.20	33.02	0.032	0.423	1	6
19	37.948256	-5.761991	628.50	628.50	0.00	-9.97	1.60	218.55	0	356	95	70	0	80.00	20.79	28.20	20.79	35.01	0.041	0.656	24	5
20	37.950219	-5.762181	632.00	632.00	0.00	-9.69	4.35	103.53	0	346	124	102	0	80.00	12.41	20.79	12.41	27.30	0.051	0.875	24	5
21	37.951122	-5.762472	636.50	636.50	0.00	-8.47	-1.70	176.65	0	328	0	37	0	80.00	49.38	12.41	30.19	27.17	0.058	0.979	1	11
22	37.952469	-5.763544	633.50	633.50	0.00	-7.98	-3.23	193.39	0	323	-217	0	-217	43.19	43.19	30.19	43.19	18.48	0.066	1.155	105	8
23	37.953858	-5.764873	627.25	627.25	0.00	-7.67	-0.97	51.81	0	320	0	0	0	80.00	37.35	43.19	42.66	4.39	0.071	1.349	20	1
24	37.954216	-5.765252	626.75	626.75	0.00	-6.82	1.95	179.63	0	313	99	5	0	80.00	15.00	42.66	23.09	20.16	0.072	1.400	2	12
25	37.955319	-5.766750	630.25	630.25	0.00	-7.77	1.57	48.03	0	321	95	45	0	80.00	17.55	23.09	19.39	8.41	0.078	1.580	2	3
26	37.955655	-5.767095	632.25	631.00	-1.25	-8.85	1.57	47.67	0	332	95	98	0	80.00	19.06	19.39	19.39	8.85	0.080	1.628	4	0
27	37.956035	-5.767348	632.75	631.75	-1.00	-9.54	-1.05	47.26	0	342	0	60	0	80.00	45.58	19.39	24.16	7.75	0.083	1.676	1	3
28	37.956441	-5.767510	631.25	631.25	0.00	-9.79	0.25	199.61	0	348	45	50	0	80.00	25.00	24.16	25.00	28.91	0.085	1.723	14	1
29	37.958201	-5.767977	631.75	631.75	0.00	-9.99	-0.82	60.76	0	358	0	30	0	80.00	42.61	25.00	27.21	8.17	0.093	1.923	1	2
30	37.958748	-5.768003	631.25	631.25	0.00	-9.96	2.63	351.25	0	5	106	94	0	80.00	16.70	27.21	16.70	70.74	0.095	1.983	24	6
31	37.961900	-5.767664	640.50	640.50	0.00	-9.67	2.53	197.68	0	15	105	105	0	80.00	16.57	16.70	16.57	42.94	0.115	2.335	24	1
32	37.963621	-5.767087	645.50	645.50	0.00	-9.85	2.10	143.22	0	10	100	107	0	80.00	18.41	16.57	18.41	28.35	0.127	2.532	14	2
33	37.964892	-5.766808	648.50	648.50	0.00	-9.98	1.01	99.44	0	4	89	111	0	80.00	24.29	18.41	23.13	16.86	0.134	2.676	1	4
34	37.965786	-5.766735	649.50	649.50	0.00	-9.97	-0.66	152.34	0	355	0	25	0	80.00	31.94	23.13	27.28	20.74	0.139	2.775	1	3
35	37.967154	-5.766874	648.50	648.50	0.00	-9.89	-3.13	143.87	0	9	0	0	0	80.00	65.08	27.28	40.24	15.29	0.145	2.927	10	8
36	37.968435	-5.766629	644.00	644.00	0.00	-9.77	0.66	37.96	0	12	74	0	0	80.00	25.00	40.24	38.56	3.47	0.149	3.071	20	1
37	37.968769	-5.766536	644.25	644.25	0.00	-9.32	0.00	52.89	0	21	34	0	0	80.00	25.00	38.56	37.26	5.05	0.150	3.109	20	1
38	37.969213	-5.766317	644.25	644.25	0.00	-8.51	1.24	161.55	0	32	91	0	0	80.00	20.26	37.26	24.63	18.87	0.152	3.162	20	8
39	37.970451	-5.765349	646.25	646.25	0.00	-8.96	-6.89	61.87	0	26	-615	0	0	39.49	39.49	24.63	39.41	6.94	0.157	3.324	10	9
40	37.970949	-5.765036	642.00	642.00	0.00	-9.74	-2.82	478.31	0	13	-216	0	-216	43.58	43.58	39.41	43.58	39.79	0.159	3.385	105	3
41	37.975145	-5.763804	628.50	628.50	0.00	-10.00	-4.30	75.69	0	2	-380	0	-452	42.15	42.15	43.58	42.15	6.46	0.170	3.864	35	1
42	37.975826	-5.763780	625.25	625.25	0.00	-9.99	-8.87	348.02	0	358	-785	0	-829	37.32	37.32	42.15	37.32	33.52	0.172	3.939	35	2
43	37.978947	-5.763925	594.50	594.50	0.00	-9.95	-7.99	56.51	0	6	-718	0	-718	38.30	38.30	37.32	38.30	5.32	0.181	4.287	105	1
44	37.979452	-5.763862	590.00	590.00	0.00	-8.72	-5.20	38.51	91	29	-450	0	-450	41.24	41.24	38.30	41.24	3.43	0.182	4.344	105	2
45	37.979754	-5.763647	588.00	588.00	0.00	-5.85	-4.37	38.34	96	54	-265	0	-265	42.08	42.08	41.24	42.08	3.29	0.183	4.382	105	1
46	37.979956	-5.763293	587.75	586.33	-1.42	-3.24	-7.96	24.74	86	71	-521	0	-1012	38.32	38.32	42.08	38.32	2.30	0.184	4.421	35	2
47	37.980028	-5.763027	585.25	584.36	-0.89	-0.49	-7.96	127.39	0	87	-347	0	-347	38.32	38.32	38.32	38.32	11.97	0.185	4.446	5	0
48	37.980084	-5.761581	574.25	574.25	0.00	-2.33	-7.37	27.22	0	77	-407	0	-407	38.97	38.97	38.32	38.97	2.52	0.188	4.573	105	1
49	37.980141	-5.761280	572.25	572.25	0.00	-4.94	-6.47	38.72	99	60	-453	0	-453	39.93	39.93	38.97	39.93	3.50	0.189	4.600	105	1
50	37.980313	-5.760897	569.75	569.75	0.00	-8.16	-1.91	45.56	96	35	-79	0	0	42.70	42.70	39.93	41.12	4.04	0.190	4.639	10	1
51	37.980648	-5.760597	567.00	568.88	1.88	-9.74	-1.91	28.16	94	13	-117	0	0	42.30	42.30	41.12	42.04	2.43	0.191	4.684	10	1
52	37.980895	-5.760524	565.75	568.34	2.59	-10.00	0.83	127.78	0	1	82	0	0	80.00	25.00	42.04	35.66	11.87	0.192	4.713	20	4
53	37.982046	-5.760500	567.50	569.40	1.90	-9.91	1.81	47.04	0	8	97	0	0	80.00	19.72	35.66	31.31	5.07	0.195	4.840	20	3
54	37.982466	-5.760429	570.25	570.25	0.00	-9.63	-6.42	398.12	0	16	-582	0	-582	39.98	39.98	31.31	39.98	36.33	0.196	4.887	105	5
55	37.985912	-5.759204	544.75	544.75	0.00	-9.93	-7.48	184.44	0	7	-676	0	-696	38.86	38.86	39.98	38.86	17.09	0.206	5.286	35	1
56	37.987557	-5.758952	531.00	531.00	0.00	-9.79	-4.34	57.67	0	12	-381	0	-381	42.11	42.11	38.86	42.11	5.03	0.211	5.470	105	2
57	37.988065	-5.758817	528.50	528.50	0.00	-9.50	-3.79	72.63	0	18	-318	0	-318	42.65	42.65	42.11	42.65	6.13	0.213	5.528	105	1
58	37.988686	-5.758558	525.75	525.75	0.00	-9.32	-3.14	310.29	0	21	-244	0	-244	43.28	43.28	42.65	43.28	25.82	0.214	5.600	105	1
59	37.991289	-5.757273	516.00	516.00	0.00	-9.54	-2.28	65.90	0	18	-149	0	-149	44.11	44.11	43.28	44.11	5.40	0.221	5.911	105	1
60	37.991855	-5.757047	514.50	514.50	0.00	-9.96	0.00	46.13	0	5	25	0	0	80.00	25.00	44.11	42.98	3.84	0.223	5.976	20	1
61	37.992269	-5.757001	514.50	514.50	0.00	-9.92	-0.40	63.20	0	353	0	0	0	80.00	25.29	42.98	42.20	5.40	0.224	6.023	20	1
62	37.992834	-5.757090	514.25	514.25	0.00	-9.41	-2.92	248.77	0	340	-221	0	-221	43.49	43.49	42.20	43.49	20.62	0.225	6.086	105	1
63	37.994943	-5.758046	503.75	506.99	3.24	-9.76	-0.51	36.17	0	347	0	0	0	80.00	26.94	43.49	43.13	3.05	0.231	6.335	20	1
64	37.995261	-5.758136	503.00	506.80	3.80	-9.96	2.91	38.37	0	5	109	0	0	80.00	15.87	43.13	38.84	3.38	0.232	6.371	20	3
65	37.995605	-5.758095	504.25	507.92	3.67	-9.55	2.91	71.65	0	17	109	0	0	80.00	15.28	38.84	29.45	7.57	0.233	6.409	20	6
66	37.996221	-5.757852	510.00	510.00	0.00	-9.96	6.23	44.20	0	355	145	45	0	80.00	10.34	29.45	15.89	7.36	0.235	6.481	2	8
67	37.996617	-5.757895	512.75	512.75	0.00	-8.58	2.77	135.40	0	329	107	104	0	80.00	14.40	15.89	14.40	33.46	0.237	6.525	24	1
68	37.997663	-5.758688	516.50	516.50	0.00	-9.52	10.51	47.83	0	342	160	154	0	80.00	6.47	14.40	6.47	23.81	0.246	6.660	24	5
69	37.998071	-5.758854	521.50	521.50	0.00	-9.95	8.64	43.54	0	354	160	161	0	80.00	8.12	6.47	8.12	19.64	0.253	6.708	14	1
70	37.998460	-5.758902	525.25	525.25	0.00	-9.93	5.33	56.41	0	7	135	142	0	80.00	11.28	8.12	11.28	18.61	0.259	6.752	14	2
71	37.998964	-5.758827	528.25	528.25	0.00	-9.66	1.74	143.58	0	15	97	113	0	80.00	19.57	11.28	19.57	29.46	0.264	6.808	14	5
72	38.000213	-5.758402	530.75	530.75	0.00	-8.78	4.50	41.78	0	29	126	107	0	80.00	11.31	19.57	13.01	9.47	0.272	6.952	2	4
73	38.000543	-5.758174	530.00	532.63	2.63	-7.00	4.50	91.73	0	46	126	122	0	80.00	10.04	13.01	10.04	31.95	0.274	6.994	24	2
74	38.001121	-5.757428	536.75	536.75	0.00	-9.49	1.22	41.04	93	18	91	114	0	80.00	22.00	10.04	17.44	10.19	0.283	7.085	1	5
75	38.001472	-5.757281	537.25	537.25	0.00	-9.97	0.00	121.63	0	355	25	60	0	80.00	25.00	17.44	24.06	20.53	0.286	7.126	1	5
76	38.002564	-5.757396	537.25	537.25	0.00	-9.47	-3.17	31.53	86	19	-247	0	0	40.46	40.46	24.06	28.03	4.34	0.292	7.248	10	3
77	38.002833	-5.757281	536.25	536.25	0.00	-7.97	0.00	31.35	0	37	46	0	0	80.00	25.00	28.03	27.04	4.14	0.293	7.279	20	1
78	38.003058	-5.757065	536.25	536.25	0.00	-6.59	1.55	113.09	0	49	95	51	0	80.00	16.39	27.04	18.66	18.87	0.294	7.311	2	5
79	38.003729	-5.756095	538.00	538.00	0.00	-5.78	0.47	28.60	0	55	83	103	0	53.14	24.68	18.66	20.06	5.30	0.299	7.424	1	1
80	38.003878	-5.755829	539.25	538.14	-1.11	-3.63	-1.67	24.19	100	69	0	60	0	43.64	31.64	20.06	22.55	4.05	0.301	7.453	1	2
81	38.003957	-5.755572	538.25	537.73	-0.52	-1.32	-1.67	25.14	100	82	12	60	0	43.64	25.00	22.55	23.83	3.90	0.302	7.477	1	2
82	38.003987	-5.755288	538.50	537.31	-1.19	1.27	-3.72	102.47	0	97	0	12	0	42.71	28.32	23.83	26.85	14.28	0.303	7.502	1	3
83	38.003870	-5.754130	533.50	533.50	0.00	-0.35	-4.03	47.43	0	88	0	0	0	42.41	35.78	26.85	29.48	6.01	0.307	7.604	10	2
84	38.003885	-5.753590	530.50	531.59	1.09	-2.70	-4.03	51.88	0	74	-37	0	0	42.41	42.41	29.48	33.50	5.90	0.309	7.652	10	3
85	38.004011	-5.753021	529.50	529.50	0.00	-5.52	-5.31	61.83	0	57	-356	0	-356	41.13	41.13	33.50	41.13	5.94	0.310	7.704	105	5
86	38.004318	-5.752434	529.00	526.22	-2.78	-7.36	-5.31	33.08	0	43	-426	0	-426	41.13	41.13	41.13	41.13	2.90	0.312	7.765	5	0
87	38.004537	-5.752179	526.00	524.47	-1.53	-8.59	-1.48	32.56	0	31	0	0	0	80.00	47.65	41.13	41.55	2.80	0.313	7.799	10	1
88	38.004789	-5.751989	521.75	523.98	2.23	-9.77	-1.48	100.13	0	12	0	0	0	80.00	51.88	41.55	43.39	8.48	0.314	7.831	10	2
89	38.005670	-5.751744	522.50	522.50	0.00	-8.76	3.88	124.61	0	29	119	15	0	80.00	12.25	43.39	22.42	13.92	0.316	7.931	2	13
90	38.006653	-5.751060	525.25	527.33	2.08	-9.42	7.85	43.15	0	20	160	108	0	80.00	8.63	22.42	8.63	12.91	0.320	8.056	24	8
91	38.007018	-5.750895	529.00	530.71	1.71	-9.96	7.85	54.98	0	5	160	161	0	80.00	8.95	8.63	8.95	22.15	0.323	8.099	14	1
92	38.007510	-5.750842	533.00	535.01	2.01	-9.98	6.46	45.60	0	356	148	151	0	80.00	10.15	8.95	10.15	16.40	0.330	8.154	14	1
93	38.007919	-5.750878	540.00	537.95	-2.05	-9.41	6.46	35.92	0	340	148	146	0	80.00	9.73	10.15	9.73	13.26	0.334	8.200	24	1
94	38.008223	-5.751016	542.25	540.27	-1.98	-8.63	3.37	39.39	0	330	114	130	0	80.00	13.06	9.73	13.06	11.58	0.338	8.235	14	2
95	38.008529	-5.751243	543.50	541.59	-1.91	-7.46	1.06	38.08	0	318	89	112	0	80.00	19.93	13.06	16.98	8.92	0.341	8.275	1	3
96	38.008785	-5.751532	542.00	542.00	0.00	-6.06	-0.57	43.98	0	307	11	60	0	80.00	25.00	16.98	20.13	8.50	0.344	8.313	1	2
97	38.009025	-5.751931	541.75	541.75	0.00	-5.08	2.86	113.61	0	301	108	88	0	80.00	11.48	20.13	11.48	31.86	0.346	8.357	24	5
98	38.009545	-5.753046	545.00	545.00	0.00	-8.04	5.67	44.13	0	323	139	133	0	80.00	9.50	11.48	9.50	16.30	0.355	8.471	24	2
99	38.009864	-5.753345	547.50	547.50	0.00	-9.40	6.31	43.65	0	340	146	147	0	80.00	9.85	9.50	9.85	15.98	0.359	8.515	14	1
100	38.010233	-5.753514	550.25	550.25	0.00	-9.96	7.50	43.46	0	355	160	158	0	80.00	9.36	9.85	9.36	16.68	0.364	8.558	24	1
101	38.010622	-5.753556	553.50	553.50	0.00	-9.90	4.88	123.18	0	8	130	133	0	80.00	11.84	9.36	11.84	37.88	0.368	8.602	14	2
102	38.011719	-5.753355	559.50	559.50	0.00	-9.80	2.83	44.19	0	11	108	132	0	80.00	15.87	11.84	15.87	11.05	0.379	8.725	14	3
103	38.012109	-5.753255	560.75	560.75	0.00	-8.89	2.04	36.83	97	27	100	88	0	57.03	17.13	15.87	15.87	8.36	0.382	8.769	4	0
104	38.012404	-5.753063	561.50	561.50	0.00	-5.75	-1.17	42.67	84	55	0	60	0	39.95	33.69	15.87	20.70	8.33	0.384	8.806	1	3
105	38.012625	-5.752665	561.00	561.00	0.00	-1.99	-0.90	27.93	70	79	48	60	0	36.40	25.00	20.70	21.75	4.69	0.387	8.849	1	1
106	38.012675	-5.752353	560.75	560.75	0.00	1.89	0.00	30.46	87	101	109	40	0	40.78	17.15	21.75	18.23	5.71	0.388	8.877	2	3
107	38.012623	-5.752012	560.75	560.75	0.00	4.65	3.01	307.61	0	118	140	139	0	80.00	9.15	18.23	9.15	117.07	0.390	8.907	24	6
108	38.011336	-5.748908	570.00	570.00	0.00	2.08	-0.52	47.98	0	102	102	127	0	50.84	18.24	9.15	17.03	12.21	0.422	9.215	1	6
109	38.011246	-5.748373	569.75	569.75	0.00	-0.87	-1.59	24.13	88	85	28	60	0	41.05	24.75	17.03	19.36	4.73	0.425	9.263	1	2
110	38.011265	-5.748099	570.00	569.37	-0.63	-3.29	-1.59	38.75	0	71	0	60	0	80.00	29.71	19.36	23.10	6.53	0.427	9.287	1	3
111	38.011380	-5.747682	568.75	568.75	0.00	-5.84	-0.53	98.31	0	54	15	39	0	80.00	25.00	23.10	25.00	14.45	0.429	9.326	14	2
112	38.011897	-5.746772	566.25	568.23	1.98	-4.48	2.46	43.38	0	63	106	5	0	80.00	12.34	25.00	16.91	7.54	0.433	9.424	2	6
113	38.012072	-5.746330	568.00	569.30	1.30	-2.09	2.46	48.81	0	78	115	97	0	80.00	12.85	16.91	13.24	11.91	0.435	9.467	2	3
114	38.012164	-5.745786	570.50	570.50	0.00	0.86	-0.32	114.90	0	95	100	118	0	80.00	19.77	13.24	19.77	23.06	0.438	9.516	14	4
115	38.012075	-5.744481	572.25	570.13	-2.12	-1.71	-0.32	41.49	0	80	86	107	0	58.89	24.20	19.77	21.86	7.10	0.444	9.631	1	2
116	38.012139	-5.744015	570.00	570.00	0.00	-5.60	-4.24	47.25	0	56	-237	0	0	42.21	42.21	21.86	29.64	6.58	0.446	9.672	10	5
117	38.012377	-5.743569	568.00	568.00	0.00	-8.40	-1.64	45.74	0	33	0	0	0	80.00	48.58	29.64	31.39	5.39	0.448	9.720	10	2
118	38.012723	-5.743286	567.25	567.25	0.00	-9.04	0.53	47.53	0	25	73	0	0	80.00	25.00	31.39	29.02	5.69	0.450	9.765	20	2
119	38.013110	-5.743054	567.50	567.50	0.00	-7.87	3.32	37.69	0	38	113	0	0	80.00	12.43	29.02	21.66	5.37	0.451	9.813	20	5
120	38.013377	-5.742789	568.75	568.75	0.00	-6.26	4.21	332.85	0	51	123	117	0	80.00	9.99	21.66	9.99	114.50	0.453	9.851	24	7
121	38.015254	-5.739834	582.75	582.75	0.00	-7.56	3.93	29.10	0	41	120	128	0	80.00	11.14	9.99	11.14	9.53	0.485	10.183	14	1
122	38.015452	-5.739617	584.75	583.89	-0.86	-9.41	3.93	47.35	0	20	120	128	0	80.00	12.83	11.14	12.83	13.54	0.487	10.213	14	1
123	38.015853	-5.739434	585.75	585.75	0.00	-9.97	2.05	73.12	0	4	100	125	0	80.00	18.79	12.83	18.79	15.94	0.491	10.260	14	4
124	38.016510	-5.739375	587.25	587.25	0.00	-9.41	4.56	112.85	0	20	126	118	0	80.00	11.80	18.79	11.80	31.18	0.495	10.333	24	4
125	38.017466	-5.738941	594.00	592.40	-1.60	-9.95	4.56	44.47	0	354	126	130	0	80.00	12.35	11.80	12.35	13.00	0.504	10.446	14	1
126	38.017864	-5.738994	595.75	594.42	-1.33	-9.31	0.95	86.72	0	339	88	110	0	80.00	23.41	12.35	20.84	17.71	0.508	10.490	1	6
127	38.018591	-5.739356	595.25	595.25	0.00	-10.00	2.83	34.33	96	358	108	48	0	80.00	16.17	20.84	17.07	6.84	0.513	10.577	2	3
128	38.018900	-5.739367	595.25	596.22	0.97	-9.44	2.83	34.72	93	19	108	92	0	80.00	15.36	17.07	15.53	7.71	0.514	10.611	2	1
129	38.019195	-5.739236	596.25	597.20	0.95	-7.54	5.62	45.44	0	41	138	125	0	80.00	9.27	15.53	9.27	15.08	0.517	10.646	24	4
130	38.019503	-5.738896	599.75	599.75	0.00	-4.98	4.99	90.35	0	60	131	130	0	80.00	8.75	9.27	8.75	37.11	0.521	10.692	24	1
131	38.019908	-5.738004	604.25	604.25	0.00	-7.91	4.14	42.30	0	38	122	131	0	80.00	11.09	8.75	11.09	14.11	0.531	10.782	14	2
132	38.020209	-5.737709	606.00	606.00	0.00	-9.32	0.24	102.86	0	21	51	63	0	80.00	25.00	11.09	20.54	21.85	0.535	10.824	1	6
133	38.021073	-5.737285	606.25	606.25	0.00	-6.98	4.06	129.50	0	46	121	104	0	80.00	10.57	20.54	10.57	40.29	0.541	10.927	24	6
134	38.021887	-5.736229	611.50	611.50	0.00	-8.43	5.88	46.84	0	33	141	138	0	80.00	9.56	10.57	9.56	17.50	0.552	11.057	24	1
135	38.022242	-5.735942	614.25	614.25	0.00	-9.47	6.48	46.38	0	19	148	149	0	80.00	9.76	9.56	9.76	17.12	0.557	11.103	14	1
136	38.022637	-5.735773	617.25	617.25	0.00	-9.99	6.81	136.12	0	3	152	152	0	80.00	9.87	9.76	9.87	49.66	0.562	11.150	14	1
137	38.023859	-5.735696	626.50	626.50	0.00	-8.97	6.82	132.27	0	26	152	151	0	80.00	9.19	9.87	9.19	51.77	0.576	11.286	24	1
138	38.024925	-5.735030	635.50	635.50	0.00	-9.38	11.65	49.68	0	20	160	158	0	80.00	5.77	9.19	5.77	30.22	0.590	11.418	24	2
139	38.025342	-5.734835	641.25	641.25	0.00	-9.88	8.87	62.27	0	9	160	161	0	80.00	7.87	5.77	7.87	28.90	0.598	11.468	14	2
140	38.025894	-5.734725	646.75	646.75	0.00	-9.97	2.36	159.21	0	356	103	115	0	80.00	17.64	7.87	17.64	35.65	0.607	11.530	14	6
141	38.027324	-5.734860	650.50	650.50	0.00	-9.33	-1.53	48.88	0	21	0	60	0	80.00	50.88	17.64	24.27	8.31	0.616	11.689	1	4
142	38.027735	-5.734660	649.75	649.75	0.00	-7.39	-4.74	168.95	0	42	-366	0	-366	41.70	41.70	24.27	41.70	17.26	0.619	11.738	105	10
143	38.028858	-5.733363	641.75	641.75	0.00	-5.63	-5.61	35.73	0	56	-393	0	-479	40.82	40.82	41.70	40.82	3.15	0.624	11.907	35	1
144	38.029039	-5.733027	639.75	639.75	0.00	-2.83	-5.17	29.03	93	74	-189	0	-189	41.27	41.27	40.82	41.27	2.54	0.624	11.943	105	1
145	38.029113	-5.732710	638.25	638.25	0.00	0.00	-4.10	24.41	99	90	0	0	0	42.34	34.87	41.27	40.39	2.17	0.625	11.972	20	1
146	38.029113	-5.732432	637.25	637.25	0.00	2.06	-2.58	126.08	0	102	17	0	0	43.82	20.54	40.39	27.59	13.83	0.626	11.996	20	8
147	38.028879	-5.731026	634.00	634.00	0.00	0.45	-4.65	59.16	0	93	0	0	0	41.79	35.97	27.59	30.78	7.26	0.630	12.122	10	2
148	38.028855	-5.730353	631.25	631.25	0.00	-2.36	-4.55	65.96	0	76	-79	0	0	41.89	41.89	30.78	35.88	7.08	0.632	12.182	10	4
149	38.028995	-5.729623	628.25	628.25	0.00	-4.12	-3.05	40.94	0	66	-9	0	0	43.36	43.36	35.88	37.31	4.02	0.634	12.248	10	1
150	38.029147	-5.729198	627.00	627.00	0.00	-5.56	-3.18	47.18	0	56	-109	0	0	43.24	43.24	37.31	39.60	4.40	0.635	12.288	10	2
151	38.029383	-5.728751	625.50	625.50	0.00	-6.79	-3.73	40.27	0	47	-231	0	0	42.71	42.71	39.60	42.33	3.53	0.636	12.336	10	2
152	38.029629	-5.728414	624.00	624.00	0.00	-7.80	-0.26	44.98	0	39	28	0	0	80.00	25.00	42.33	41.07	3.90	0.637	12.376	20	1
153	38.029945	-5.728093	622.75	623.88	1.13	-8.88	-0.26	50.99	0	27	21	0	0	80.00	25.00	41.07	40.08	4.57	0.638	12.421	20	1
154	38.030353	-5.727826	623.75	623.75	0.00	-9.52	1.52	49.22	0	18	94	0	0	80.00	20.37	40.08	36.46	4.63	0.639	12.472	20	3
155	38.030775	-5.727654	624.50	624.50	0.00	-9.75	2.07	314.28	0	13	100	67	0	80.00	18.34	36.46	18.34	49.51	0.640	12.521	24	11
156	38.033535	-5.726858	631.00	631.00	0.00	-9.60	2.78	72.04	0	16	107	95	0	80.00	15.73	18.34	15.73	15.59	0.654	12.835	24	2
157	38.034158	-5.726629	633.00	633.00	0.00	-8.53	1.60	31.24	0	31	95	119	0	80.00	18.41	15.73	17.57	6.66	0.659	12.907	1	2
158	38.034398	-5.726443	633.50	633.50	0.00	-6.69	1.46	120.08	0	48	94	91	0	80.00	16.91	17.57	16.91	25.46	0.660	12.939	24	1
159	38.035122	-5.725426	635.25	635.25	0.00	-8.59	4.70	95.82	0	31	128	120	0	80.00	10.89	16.91	10.89	29.08	0.667	13.059	24	4
160	38.035863	-5.724868	639.75	639.75	0.00	-6.71	6.26	52.04	0	48	145	141	0	80.00	8.45	10.89	8.45	21.60	0.676	13.155	24	2
161	38.036177	-5.724429	643.00	643.00	0.00	-3.62	4.89	102.30	0	69	133	133	0	80.00	8.73	8.45	8.73	42.21	0.682	13.207	14	1
162	38.036510	-5.723343	648.00	648.00	0.00	-3.12	6.75	226.32	0	72	152	152	0	80.00	7.49	8.73	7.49	108.62	0.693	13.309	24	1
163	38.037144	-5.720897	663.25	663.25	0.00	-3.26	0.75	79.33	0	71	93	117	0	80.00	20.39	7.49	18.40	19.74	0.723	13.535	1	7
164	38.037377	-5.720042	664.50	663.85	-0.65	-4.36	-1.56	20.37	0	64	0	60	0	50.03	33.25	18.40	20.85	3.71	0.729	13.615	1	2
165	38.037457	-5.719833	664.00	663.53	-0.47	-5.10	-1.56	17.85	96	59	0	60	0	42.83	35.92	20.85	22.70	2.94	0.730	13.635	1	2
166	38.037539	-5.719658	663.25	663.25	0.00	-7.32	0.00	36.07	0	43	48	60	0	80.00	25.00	22.70	23.21	5.58	0.731	13.653	1	1
167	38.037777	-5.719378	662.00	663.25	1.25	-8.51	0.00	80.39	0	32	42	60	0	80.00	25.00	23.21	24.55	12.01	0.732	13.689	1	1
168	38.038393	-5.718896	663.25	663.25	0.00	-9.38	3.46	36.13	0	20	115	23	0	80.00	13.72	24.55	17.62	6.35	0.736	13.769	2	5
169	38.038698	-5.718753	664.50	664.50	0.00	-9.46	3.02	16.55	0	19	110	94	0	80.00	14.86	17.62	16.54	3.52	0.737	13.805	2	1
170	38.038839	-5.718692	665.00	665.00	0.00	-9.14	3.27	15.32	0	24	113	96	0	80.00	13.86	16.54	15.39	3.47	0.738	13.822	2	1
171	38.038965	-5.718621	665.50	665.50	0.00	-8.24	2.21	11.31	55	34	102	99	0	40.27	15.65	15.39	15.39	2.65	0.739	13.837	4	0
172	38.039049	-5.718548	665.75	665.75	0.00	-6.78	0.00	10.97	54	47	48	60	0	32.22	25.00	15.39	16.10	2.44	0.740	13.849	1	1
