seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vMax	vTarget	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
1308	38.110243	-5.527440	365.00	365.00	0.00	-9.92	4.57	11.42	37	7	127	137	0	80.00	12.31	13.03	13.03	3.16	2.668	43.370	4	0
1309	38.110345	-5.527424	365.25	365.52	0.27	-9.83	8.27	15.75	42	349	160	136	0	80.00	8.42	13.03	8.62	5.45	2.669	43.381	2	3
1310	38.110484	-5.527457	365.75	366.82	1.07	-8.42	8.27	32.00	0	327	160	157	0	80.00	7.74	8.62	7.74	14.78	2.670	43.397	24	1
1311	38.110726	-5.527653	368.25	369.46	1.21	-7.85	10.08	37.82	0	322	160	158	0	80.00	6.21	7.74	6.21	21.70	2.674	43.429	24	1
1312	38.110992	-5.527919	373.25	373.25	0.00	-9.79	6.89	7.28	18	348	153	160	0	80.00	9.67	6.21	8.54	3.30	2.680	43.467	1	2
1313	38.111056	-5.527936	373.75	373.75	0.00	-9.91	6.10	32.87	0	8	144	150	0	80.00	10.43	8.54	10.43	11.70	2.681	43.474	14	2
1314	38.111349	-5.527887	375.75	375.75	0.00	-9.74	8.99	13.96	46	347	160	145	0	80.00	7.69	10.43	7.69	5.94	2.684	43.507	24	2
1315	38.111471	-5.527923	377.00	377.00	0.00	-8.88	10.09	23.75	0	333	160	157	0	80.00	6.51	7.69	6.51	12.97	2.686	43.521	24	1
1316	38.111660	-5.528047	379.00	379.39	0.39	-9.77	10.09	13.59	48	348	160	151	0	80.00	6.84	6.51	6.51	7.51	2.690	43.545	4	0
1317	38.111779	-5.528080	380.75	380.75	0.00	-10.00	9.32	7.81	23	1	160	165	0	80.00	7.54	6.51	7.54	3.91	2.692	43.558	14	1
1318	38.111849	-5.528078	381.75	381.47	-0.28	-8.98	6.32	10.78	23	26	146	160	0	80.00	9.55	7.54	9.51	4.46	2.693	43.566	1	2
1319	38.111936	-5.528024	382.75	382.15	-0.60	-6.31	2.35	11.43	25	51	103	129	0	33.54	13.36	9.51	11.75	3.81	2.694	43.577	1	2
1320	38.112001	-5.527923	383.25	382.42	-0.83	-2.18	-0.91	10.70	31	77	35	60	0	24.20	24.20	11.75	13.68	3.01	2.695	43.588	1	2
1321	38.112022	-5.527804	383.25	382.32	-0.93	0.12	-0.91	35.53	0	91	71	88	0	38.46	21.86	13.68	17.74	7.98	2.696	43.599	1	3
1322	38.112018	-5.527399	382.00	382.00	0.00	-0.29	0.76	15.45	47	88	107	109	0	29.81	17.57	17.74	17.74	3.13	2.698	43.634	4	0
1323	38.112022	-5.527223	381.50	382.12	0.62	-5.35	4.67	7.48	15	58	128	108	0	80.00	9.13	17.74	16.08	1.60	2.699	43.650	2	1
1324	38.112058	-5.527151	381.75	382.47	0.72	-8.56	7.87	7.15	15	31	160	136	0	80.00	8.18	16.08	13.41	1.76	2.700	43.657	2	2
1325	38.112113	-5.527109	382.50	383.03	0.53	-9.97	7.00	25.23	0	5	154	137	0	80.00	9.71	13.41	9.71	8.35	2.700	43.664	24	3
1326	38.112339	-5.527086	385.50	384.79	-0.71	-9.22	7.00	5.91	13	23	154	164	0	80.00	9.22	9.71	9.71	2.19	2.702	43.690	4	0
