File: bikeride.exe
Build ID: C:\Go\src\bikeride\cmd\bikeride.exe2025-01-10 09:38:11.7810055 +0200 EET
Type: cpu
Time: Jan 10, 2025 at 9:38am (EET)
Duration: 22.43s, Total samples = 22.01s (98.14%)
Showing nodes accounting for 20.89s, 94.91% of 22.01s total
Dropped 97 nodes (cum <= 0.11s)
      flat  flat%   sum%        cum   cum%
     0.19s  0.86% 89.69%      0.22s     1%  github.com/pekkizen/bikeride/route.(*segment).adjustTargetVelByMaxMinPedaled
     0.19s  0.86% 90.55%      0.21s  0.95%  github.com/pekkizen/motion.(*BikeCalc).VelFreewheel (inline)
     0.20s  0.91% 91.46%      0.20s  0.91%  math.Sqrt (inline)
     0.17s  0.77% 92.23%      0.17s  0.77%  github.com/pekkizen/bikeride/route.(*segment).decelerationMaxPedaled (inline)
     0.17s  0.77% 93.00%      0.17s  0.77%  github.com/pekkizen/motion.(*BikeCalc).householderIter (inline)
     0.07s  0.32% 93.32%      0.14s  0.64%  github.com/pekkizen/bikeride/route.(*Results).makeResultTXT.func1
         0     0% 93.32%      0.14s  0.64%  github.com/pekkizen/bikeride/route.(*segment).rideConstantVelAndBrakeAtEnd
     0.09s  0.41% 93.73%      0.14s  0.64%  github.com/pekkizen/motion.(*BikeCalc).DeltaVelBrake (inline)
     0.13s  0.59% 94.32%      0.13s  0.59%  github.com/pekkizen/bikeride/route.course (inline)
     0.13s  0.59% 94.91%      0.13s  0.59%  math.Float64frombits (inline)
