lat	lon	ele	eleGPX	wind	grade	dist	cumDist	radius	course	powerTarget	powerRider	powerBrake	velTarget	velMax	velEntry	velExit	segTime	cumTime	calcPath	segment
37.838492	-4.831046	96.75	96.75	0.00	0.00	149.92	2.917	0	0	90	98	0	20.00	80.00	17.82	20.00	27.58	0.151	14	43
37.837475	-4.832165	96.75	96.75	0.00	-0.78	32.23	2.949	0	0	65	78	0	22.08	80.00	20.00	20.92	5.67	0.153	1	44
37.837261	-4.832412	96.50	96.50	0.00	0.10	252.38	3.201	0	0	92	89	0	19.65	80.00	20.92	19.65	45.97	0.165	34	45
37.835584	-4.834345	96.75	96.75	0.00	0.44	114.81	3.316	0	0	96	89	0	18.27	80.00	19.65	18.27	22.32	0.171	34	46
37.834838	-4.835247	97.25	97.25	0.00	0.24	106.27	3.422	0	0	94	99	0	19.09	80.00	18.27	19.09	20.15	0.177	14	47
37.834086	-4.835993	97.50	97.75	0.00	0.00	36.32	3.459	0	0	90	107	0	20.00	80.00	19.09	20.00	6.68	0.179	14	48
37.833849	-4.836277	97.50	97.50	0.00	0.52	47.66	3.506	0	0	97	78	0	17.91	80.00	20.00	18.20	9.02	0.181	3	49
37.833571	-4.836689	97.75	97.75	0.00	2.87	69.66	3.576	0	0	117	98	0	11.16	80.00	18.20	11.16	19.48	0.187	34	50
37.833198	-4.837324	99.75	99.75	0.00	0.00	118.58	3.695	0	0	90	108	0	20.00	80.00	11.16	19.95	25.27	0.194	1	51
37.832554	-4.838397	99.75	99.75	0.00	1.59	15.68	3.710	0	0	107	56	0	14.16	80.00	19.95	17.87	3.02	0.195	3	52
37.832482	-4.838550	100.00	100.00	0.00	0.00	16.80	3.727	0	0	90	108	0	20.00	80.00	17.87	18.60	3.32	0.196	1	53
37.832405	-4.838714	100.00	100.00	0.00	-1.34	55.80	3.783	0	0	34	45	0	22.48	80.00	18.60	20.52	10.23	0.198	1	54
37.832168	-4.839272	99.25	99.25	0.00	-1.11	226.07	4.009	0	0	47	51	0	22.24	80.00	20.52	22.24	37.23	0.209	14	55
37.831327	-4.841607	96.75	96.75	0.00	-1.65	75.75	4.085	0	0	21	33	0	23.20	80.00	22.24	23.20	11.88	0.212	14	56
37.831015	-4.842371	95.50	95.50	0.00	-6.71	33.60	4.118	0	0	-161	0	0	44.22	44.22	23.20	29.90	4.54	0.213	10	57
37.830839	-4.842680	93.25	93.25	0.00	-4.88	20.50	4.139	0	0	0	0	0	41.87	45.89	29.90	31.48	2.40	0.214	10	58
37.830690	-4.842817	92.25	92.25	0.00	-3.14	31.81	4.171	0	0	0	0	0	32.02	47.43	31.48	31.53	3.63	0.215	10	59
37.830425	-4.842954	91.25	91.25	0.00	-1.48	33.78	4.204	0	0	28	0	0	22.73	80.00	31.53	29.57	3.98	0.216	30	60
37.830134	-4.843066	90.75	90.75	0.00	-3.61	62.41	4.267	0	0	0	0	0	34.92	80.00	29.57	31.27	7.37	0.218	10	61
37.829619	-4.843349	88.50	88.50	0.00	0.00	36.49	4.303	0	0	90	0	0	20.00	80.00	31.27	27.04	4.52	0.219	30	62
37.829320	-4.843521	88.50	88.25	0.00	1.03	96.66	4.400	0	0	102	50	0	15.97	80.00	27.04	16.89	17.15	0.224	3	63
37.828534	-4.843993	89.50	90.00	0.00	0.00	47.48	4.447	0	0	90	108	0	20.00	80.00	16.89	19.14	9.42	0.227	1	64
37.828148	-4.844225	89.50	89.50	0.00	-2.56	39.11	4.487	0	0	0	45	0	27.92	80.00	19.14	22.79	6.69	0.229	1	65
37.827829	-4.844413	88.50	88.50	0.00	-3.81	32.82	4.519	0	0	0	30	0	36.12	46.85	22.79	26.24	4.78	0.230	1	66
37.827598	-4.844645	87.25	87.25	0.00	-1.21	28.03	4.547	0	0	41	0	0	22.32	80.00	26.24	24.83	3.95	0.231	30	67
37.827483	-4.844928	86.91	86.25	0.00	-1.21	33.76	4.581	0	0	41	6	0	22.32	80.00	24.83	23.51	5.05	0.233	3	68
37.827402	-4.845297	86.50	86.50	0.00	0.00	45.28	4.626	0	0	90	55	0	20.00	80.00	23.51	21.15	7.40	0.235	3	69
37.827320	-4.845800	86.50	86.50	0.00	2.23	33.62	4.660	0	0	112	65	0	12.48	80.00	21.15	15.80	6.75	0.236	3	70
37.827254	-4.846172	87.25	87.25	0.00	3.47	50.46	4.710	0	0	122	107	0	10.18	80.00	15.80	10.18	15.51	0.241	34	71
37.827158	-4.846731	89.00	89.00	0.00	0.42	59.69	4.770	0	0	96	115	0	18.34	80.00	10.18	17.11	14.87	0.245	1	72
37.827076	-4.847400	89.25	89.25	0.00	0.63	78.87	4.849	0	0	98	101	0	17.47	80.00	17.11	17.47	16.27	0.249	14	73
37.827036	-4.848293	89.75	89.75	0.00	2.63	85.57	4.935	0	0	115	103	0	11.62	80.00	17.47	11.62	23.87	0.256	34	74
37.827049	-4.849263	92.00	92.00	0.00	1.35	37.06	4.972	0	0	105	126	0	14.91	80.00	11.62	14.85	9.89	0.259	1	75
37.827036	-4.849683	92.50	92.50	0.00	0.55	45.76	5.017	0	0	97	117	0	17.82	80.00	14.85	17.41	10.10	0.262	1	76
37.826948	-4.850190	92.75	92.75	0.00	0.23	333.27	5.351	0	0	94	96	0	19.13	80.00	17.41	19.13	63.10	0.279	14	77
37.826331	-4.853889	93.50	93.50	0.00	0.46	54.36	5.405	0	0	96	86	0	18.17	80.00	19.13	18.17	10.61	0.282	34	78
37.826222	-4.854490	93.75	93.75	0.00	0.00	65.25	5.470	0	0	90	106	0	20.00	80.00	18.17	20.00	12.19	0.285	14	79
37.826121	-4.855219	93.75	93.75	0.00	0.00	131.85	5.602	0	0	90	90	0	20.00	80.00	20.00	20.00	23.73	0.292	4	80
37.825912	-4.856691	93.75	93.75	0.00	0.29	85.49	5.688	0	0	94	86	0	18.86	80.00	20.00	18.86	16.10	0.297	34	81
37.825810	-4.857652	94.00	94.00	0.00	-0.36	137.72	5.825	0	0	84	94	0	21.47	80.00	18.86	21.47	23.91	0.303	14	82
37.825553	-4.859180	93.50	93.50	0.00	0.17	297.30	6.123	0	0	93	89	0	19.37	80.00	21.47	19.37	54.66	0.318	34	83
37.824929	-4.862459	94.00	94.00	0.00	0.00	233.97	6.357	0	0	90	92	0	20.00	80.00	19.37	20.00	42.19	0.330	14	84
37.824420	-4.865034	94.00	93.25	0.00	0.22	114.68	6.471	0	0	94	89	0	19.16	80.00	20.00	19.16	21.42	0.336	34	85
37.824197	-4.866304	94.25	94.25	0.00	2.14	105.28	6.577	0	0	111	96	0	12.70	80.00	19.16	12.70	27.11	0.344	34	86
37.824034	-4.867480	96.50	96.50	0.00	1.54	65.02	6.642	0	0	106	114	0	14.32	80.00	12.70	14.32	16.66	0.348	14	87
37.823946	-4.868209	97.50	97.50	0.00	1.59	47.06	6.689	0	0	107	105	0	14.16	80.00	14.32	14.16	11.96	0.352	34	88
37.823926	-4.868742	98.25	98.25	0.00	3.65	34.23	6.723	0	0	124	106	0	9.92	80.00	14.16	9.92	10.94	0.355	34	89
37.823831	-4.869111	99.50	99.50	0.00	3.49	78.80	6.802	0	0	122	123	0	10.15	80.00	9.92	10.15	27.97	0.362	14	90
37.823573	-4.869943	102.25	102.25	0.00	5.54	203.44	7.005	0	0	139	138	0	8.01	80.00	10.15	8.01	91.03	0.388	34	91
37.822963	-4.872115	113.50	113.50	0.00	1.11	168.33	7.173	0	0	103	111	0	15.70	80.00	8.01	15.70	41.41	0.399	14	92
37.822407	-4.873891	115.38	116.50	0.00	-0.55	205.25	7.379	0	0	77	88	0	21.84	80.00	15.70	21.84	36.61	0.409	14	93
37.821742	-4.876063	114.25	114.25	0.00	-1.56	112.51	7.491	0	0	25	33	0	22.91	80.00	21.84	22.91	17.86	0.414	14	94
37.821349	-4.877239	112.50	112.50	0.00	-1.48	101.60	7.593	0	0	28	26	0	22.72	80.00	22.91	22.72	16.08	0.419	34	95
37.820983	-4.878295	111.00	111.00	0.00	-0.51	98.06	7.691	0	0	78	70	0	21.78	80.00	22.72	21.78	16.03	0.423	34	96
37.820603	-4.879299	110.50	110.50	0.00	-0.48	105.25	7.796	0	0	80	80	0	21.72	80.00	21.78	21.78	17.39	0.428	4	97
37.820231	-4.880397	110.00	110.00	0.00	-1.20	125.22	7.921	0	0	42	45	0	22.31	80.00	21.78	22.31	20.31	0.434	14	98
37.819756	-4.881685	108.50	108.50	0.00	-0.71	105.38	8.027	0	0	69	66	0	22.03	80.00	22.31	22.03	17.20	0.438	34	99
37.819383	-4.882784	107.75	107.00	0.00	0.85	87.87	8.115	0	0	100	73	0	16.63	80.00	22.03	16.65	16.96	0.443	3	100
37.819030	-4.883676	108.50	108.50	0.00	0.25	98.73	8.213	0	0	94	105	0	19.02	80.00	16.65	19.02	19.34	0.449	14	101
37.818651	-4.884689	108.75	108.75	0.00	-0.29	87.00	8.300	0	0	86	101	0	21.25	80.00	19.02	21.25	15.37	0.453	14	102
37.818264	-4.885547	108.50	108.50	0.00	0.22	111.39	8.412	0	0	94	83	0	19.14	80.00	21.25	19.14	20.36	0.458	34	103
37.817769	-4.886646	108.75	109.25	0.00	0.00	92.62	8.504	0	0	90	96	0	20.00	80.00	19.14	20.00	16.80	0.463	14	104
37.817403	-4.887590	108.75	108.75	0.00	-1.45	79.18	8.584	0	0	29	45	0	22.67	80.00	20.00	22.08	13.48	0.467	1	105
37.817064	-4.888380	107.60	106.50	0.00	0.00	24.09	8.608	0	0	90	72	0	20.00	80.00	22.08	21.27	4.00	0.468	3	106
37.816929	-4.888594	107.60	107.25	0.00	0.31	48.08	8.656	0	0	95	76	0	18.78	80.00	21.27	19.49	8.52	0.470	3	107
37.816834	-4.889126	107.75	107.75	0.00	4.42	113.21	8.769	0	0	130	119	0	9.00	80.00	19.49	9.00	40.33	0.482	34	108
37.816589	-4.890371	112.75	112.75	0.00	1.51	82.63	8.852	0	0	106	118	0	14.40	80.00	9.00	14.40	22.41	0.488	14	109
37.816440	-4.891289	114.00	114.00	0.00	4.97	60.38	8.912	0	0	135	126	0	8.46	80.00	14.40	8.46	23.43	0.494	34	110
37.816223	-4.891916	117.00	117.00	0.00	6.51	65.47	8.977	0	0	147	146	0	7.38	80.00	8.46	7.38	31.79	0.503	34	111
