lat	lon	ele	eleGPX	wind	grade	dist	cumDist	radius	course	powerTarget	powerRider	powerBrake	velTarget	velMax	velEntry	velExit	segTime	cumTime	calcPath	segment
36.492390	-4.951460	8.00	8.00	0.00	0.00	2.68	0.740	0	0	90	90	0	20.00	80.00	20.00	20.00	0.48	0.041	4	43
36.492390	-4.951490	8.00	8.00	0.00	0.00	8.96	0.749	0	0	90	90	0	20.00	80.00	20.00	20.00	1.61	0.042	4	44
36.492460	-4.951540	8.00	8.00	0.00	0.00	6.16	0.755	0	0	90	90	0	20.00	80.00	20.00	20.00	1.11	0.042	4	45
36.492510	-4.951570	8.00	8.00	0.00	0.00	17.11	0.772	0	0	90	90	0	20.00	80.00	20.00	20.00	3.08	0.043	4	46
36.492650	-4.951650	8.00	8.00	0.00	0.00	5.83	0.778	0	0	90	90	0	20.00	80.00	20.00	20.00	1.05	0.043	4	47
36.492700	-4.951670	8.00	8.00	0.00	0.00	7.97	0.786	0	0	90	90	0	20.00	80.00	20.00	20.00	1.43	0.043	4	48
36.492770	-4.951690	8.00	8.00	0.00	0.00	6.72	0.793	0	0	90	90	0	20.00	80.00	20.00	20.00	1.21	0.044	4	49
36.492830	-4.951700	8.00	8.00	0.00	-3.20	9.99	0.803	0	0	0	45	0	32.39	47.38	20.00	21.34	1.74	0.044	1	50
36.492920	-4.951700	7.68	8.00	0.00	-3.20	10.03	0.813	0	0	0	45	0	32.39	47.38	21.34	22.51	1.65	0.045	1	51
36.493010	-4.951690	7.36	8.00	0.00	-1.93	5.62	0.819	0	0	12	45	0	24.36	80.00	22.51	22.72	0.89	0.045	1	52
36.493060	-4.951680	7.25	7.00	0.00	-1.93	13.00	0.832	0	0	12	45	0	24.36	80.00	22.72	23.13	2.04	0.046	1	53
36.493170	-4.951630	7.00	7.00	0.00	0.00	21.89	0.854	0	0	90	24	0	20.00	80.00	23.13	21.38	3.57	0.047	3	54
36.493350	-4.951530	7.00	7.00	0.00	0.00	15.56	0.869	0	0	90	72	0	20.00	80.00	21.38	20.97	2.65	0.047	3	55
36.493470	-4.951440	7.00	7.00	0.00	0.00	11.79	0.881	0	0	90	72	0	20.00	80.00	20.97	20.67	2.04	0.048	3	56
