seg	lat	lon	eleGPX	ele	eleShift	wind	grade	dist	radius	course	pTarget	pRider	pBrake	vTarget	vMax	vEntry	vExit	segTime	cumTime	cumDist	calcPath	calcSteps
431	38.061729	-5.653327	553.25	557.38	4.13	0.00	-2.04	24.21	0	0	18	0	0	23.67	40.16	32.65	31.15	2.74	1.414	22.194	20	1
432	38.061770	-5.653056	551.50	556.89	5.39	0.00	-2.11	23.59	0	0	16	0	0	23.92	40.10	31.15	29.92	2.79	1.415	22.218	20	1
433	38.061753	-5.652788	551.00	556.39	5.39	0.00	-1.77	28.11	0	0	28	0	0	22.88	80.00	29.92	28.27	3.49	1.416	22.242	20	1
434	38.061664	-5.652488	552.00	555.89	3.89	0.00	-2.91	17.26	0	0	0	0	0	27.56	39.41	28.27	28.22	2.23	1.417	22.270	20	1
435	38.061559	-5.652343	553.50	555.39	1.89	0.00	-2.73	29.95	0	0	0	0	0	26.45	39.56	28.22	28.03	3.94	1.417	22.287	20	1
436	38.061392	-5.652075	555.50	554.57	-0.93	0.00	-3.13	16.67	0	0	0	0	0	28.92	39.22	28.03	28.09	2.11	1.418	22.317	10	1
437	38.061358	-5.651890	555.00	554.05	-0.95	0.00	-8.37	9.59	0	0	-375	0	0	34.31	34.31	28.09	30.18	1.18	1.419	22.334	10	2
438	38.061369	-5.651782	553.75	553.25	-0.50	0.00	-8.25	22.97	0	0	-364	0	0	34.43	34.43	30.18	34.16	2.56	1.419	22.344	10	3
439	38.061457	-5.651546	550.75	551.36	0.61	0.00	-9.17	17.16	0	0	-448	0	-539	33.50	33.50	34.16	33.50	1.84	1.420	22.367	35	2
440	38.061512	-5.651364	549.25	549.80	0.55	0.00	-5.39	34.20	0	0	-64	0	0	37.18	37.18	33.50	35.03	3.58	1.420	22.384	10	2
441	38.061552	-5.650978	547.50	547.96	0.46	0.00	-5.28	17.30	0	0	-52	0	0	37.28	37.28	35.03	35.57	1.75	1.421	22.418	10	1
442	38.061590	-5.650787	546.75	547.04	0.29	0.00	-3.87	29.22	0	0	0	0	0	33.01	38.57	35.57	35.18	3.01	1.422	22.435	20	1
443	38.061704	-5.650487	545.50	545.91	0.41	0.00	-3.05	22.56	0	0	0	0	0	28.41	39.29	35.18	34.30	2.37	1.423	22.464	20	1
444	38.061768	-5.650243	544.75	545.23	0.48	0.00	-1.39	30.18	0	0	46	0	0	22.29	80.00	34.30	31.53	3.32	1.423	22.487	20	2
445	38.061768	-5.649899	545.00	544.81	-0.19	0.00	-1.82	15.96	0	0	26	0	0	22.99	80.00	31.53	30.48	1.87	1.424	22.517	20	1
446	38.061817	-5.649728	544.50	544.52	0.02	0.00	-1.55	15.77	0	0	38	0	0	22.48	80.00	30.48	29.36	1.91	1.425	22.533	20	1
447	38.061909	-5.649591	544.25	544.27	0.02	0.00	-1.91	11.23	0	0	23	0	0	23.24	80.00	29.36	28.79	1.41	1.425	22.549	20	1
448	38.062004	-5.649547	544.25	544.06	-0.19	0.00	-1.89	19.81	0	0	23	0	0	23.19	80.00	28.79	27.83	2.54	1.426	22.560	20	1
449	38.062182	-5.649531	544.00	543.68	-0.32	0.00	-4.13	12.88	0	0	0	0	0	34.33	38.33	27.83	28.41	1.62	1.427	22.580	10	1
450	38.062283	-5.649603	543.25	543.15	-0.10	0.00	-8.31	27.70	0	0	-369	0	0	34.37	34.37	28.41	33.65	3.20	1.427	22.593	10	4
451	38.062451	-5.649835	540.75	540.86	0.11	0.00	-5.44	67.50	0	0	-70	0	0	37.13	37.13	33.65	36.32	6.89	1.428	22.620	10	2
452	38.062794	-5.650469	537.50	537.19	-0.31	0.00	-5.64	40.12	0	0	-93	0	-93	36.95	36.95	36.32	36.95	3.92	1.430	22.688	105	2
453	38.063034	-5.650810	535.50	534.93	-0.57	0.00	-4.56	32.77	0	0	0	0	0	36.44	37.94	36.95	36.89	3.22	1.431	22.728	20	1
454	38.063253	-5.651060	533.00	533.44	0.44	0.00	-5.75	15.00	0	0	-105	0	-112	36.85	36.85	36.89	36.85	1.47	1.432	22.761	35	2
455	38.063375	-5.651133	532.25	532.58	0.33	0.00	-5.13	47.24	0	0	-35	0	-35	37.42	37.42	36.85	37.42	4.57	1.432	22.776	105	2
456	38.063787	-5.651265	530.00	530.15	0.15	0.00	-4.83	56.47	0	0	0	0	0	37.68	37.68	37.42	37.47	5.41	1.433	22.823	10	1
457	38.064285	-5.651393	527.00	527.43	0.43	0.00	-3.79	61.40	0	0	0	0	0	32.62	38.63	37.47	35.78	6.03	1.435	22.880	20	1
458	38.064837	-5.651430	524.75	525.10	0.35	0.00	-1.21	80.97	0	0	55	0	0	22.15	80.00	35.78	28.16	9.24	1.437	22.941	20	5
459	38.065563	-5.651341	523.50	524.12	0.62	0.00	-0.03	23.92	0	0	100	0	0	20.02	80.00	28.16	25.12	3.24	1.439	23.022	20	2
460	38.065768	-5.651257	523.50	524.12	0.62	0.00	1.64	11.27	0	0	115	0	0	14.33	80.00	25.12	22.78	1.71	1.440	23.046	20	2
461	38.065851	-5.651183	523.75	524.30	0.55	0.00	2.41	16.37	0	0	120	0	0	12.39	80.00	22.78	18.48	2.87	1.441	23.057	20	3
462	38.065933	-5.651028	524.25	524.70	0.45	0.00	3.40	12.21	0	0	126	114	0	10.51	80.00	18.48	16.26	2.56	1.441	23.074	2	2
463	38.065938	-5.650889	525.50	525.11	-0.39	0.00	2.62	12.99	0	0	121	109	0	11.94	80.00	16.26	14.78	3.01	1.442	23.086	2	1
464	38.065911	-5.650745	525.75	525.45	-0.30	0.00	3.80	13.20	0	0	129	116	0	9.91	80.00	14.78	12.55	3.54	1.443	23.099	2	2
465	38.065857	-5.650611	525.75	525.95	0.20	0.00	2.59	67.16	0	0	121	119	0	12.01	80.00	12.55	12.01	20.06	1.444	23.112	24	2
466	38.065509	-5.649985	529.75	527.69	-2.06	0.00	1.95	45.09	0	0	117	124	0	13.49	80.00	12.01	13.49	12.43	1.449	23.179	14	2
467	38.065289	-5.649553	533.75	528.57	-5.18	0.00	2.24	23.24	0	0	119	110	0	12.77	80.00	13.49	12.77	6.42	1.453	23.224	24	2
468	38.065227	-5.649300	534.25	529.09	-5.16	0.00	2.78	30.22	0	0	122	115	0	11.62	80.00	12.77	11.62	9.08	1.455	23.247	24	2
469	38.065179	-5.648961	533.75	529.93	-3.82	0.00	1.81	43.08	0	0	116	126	0	13.85	80.00	11.62	13.85	11.89	1.457	23.278	14	3
470	38.065172	-5.648470	530.75	530.71	-0.04	0.00	4.34	16.73	0	0	133	119	0	9.22	80.00	13.85	10.71	4.95	1.461	23.321	2	2
471	38.065201	-5.648283	529.50	531.44	1.94	0.00	1.71	75.88	0	0	115	122	0	14.13	80.00	10.71	14.13	20.56	1.462	23.337	14	3
472	38.065671	-5.647655	527.25	532.74	5.49	0.00	2.33	13.10	0	0	119	107	0	12.57	80.00	14.13	13.42	3.53	1.468	23.413	2	1
473	38.065723	-5.647521	527.25	533.04	5.79	0.00	2.86	27.29	0	0	123	111	0	11.46	80.00	13.42	11.51	7.96	1.469	23.426	2	2
474	38.065803	-5.647227	529.25	533.82	4.57	0.00	3.25	38.63	0	0	125	122	0	10.76	80.00	11.51	10.76	12.79	1.471	23.454	24	2
475	38.065851	-5.646791	532.50	535.07	2.57	0.00	4.07	35.31	0	0	131	126	0	9.55	80.00	10.76	9.55	13.03	1.474	23.492	24	2
476	38.065811	-5.646392	535.25	536.51	1.26	0.00	6.36	25.54	0	0	146	140	0	7.42	80.00	9.55	7.42	11.86	1.478	23.528	24	3
477	38.065787	-5.646103	537.75	538.13	0.38	0.00	6.49	19.70	0	0	146	146	0	7.33	80.00	7.42	7.33	9.67	1.481	23.553	24	2
478	38.065842	-5.645890	539.50	539.41	-0.09	0.00	8.45	15.71	0	0	150	146	0	5.98	80.00	7.33	5.98	9.20	1.484	23.573	24	2
479	38.065936	-5.645757	541.50	540.73	-0.77	0.00	8.18	28.39	0	0	150	150	0	6.15	80.00	5.98	6.15	16.63	1.487	23.589	14	2
480	38.066142	-5.645567	543.75	543.05	-0.70	0.00	4.46	50.09	0	0	133	137	0	9.08	80.00	6.15	9.08	20.55	1.491	23.617	14	3
481	38.066551	-5.645327	545.25	545.28	0.03	0.00	3.79	32.84	0	0	129	133	0	9.93	80.00	9.08	9.93	12.05	1.497	23.667	14	2
482	38.066841	-5.645254	547.00	546.52	-0.48	0.00	2.13	24.12	0	0	118	130	0	13.03	80.00	9.93	12.38	7.52	1.500	23.700	1	2
483	38.067021	-5.645100	547.75	547.04	-0.71	0.00	0.47	14.15	0	0	105	116	0	18.19	80.00	12.38	14.27	3.76	1.502	23.724	1	2
484	38.067080	-5.644957	547.25	547.10	-0.15	0.00	0.07	17.11	0	0	101	111	0	19.67	80.00	14.27	15.98	4.02	1.503	23.738	1	2
485	38.067096	-5.644763	547.25	547.12	-0.13	0.00	-0.18	24.26	0	0	99	109	0	20.62	80.00	15.98	17.73	5.13	1.504	23.755	1	2
486	38.067061	-5.644490	546.50	547.07	0.57	0.00	1.21	14.34	0	0	111	100	0	15.62	80.00	17.73	17.08	3.00	1.506	23.780	2	1
487	38.067071	-5.644327	546.50	547.25	0.75	0.00	2.70	16.18	0	0	122	110	0	11.77	80.00	17.08	15.07	3.66	1.507	23.794	2	2
488	38.067159	-5.644180	547.00	547.68	0.68	0.00	12.36	14.56	0	0	150	140	0	4.23	80.00	15.07	4.23	7.50	1.508	23.810	24	8
489	38.067271	-5.644096	548.25	549.47	1.22	0.00	6.89	59.46	0	0	149	150	0	7.09	80.00	4.23	7.09	30.77	1.510	23.825	14	3
490	38.067801	-5.644009	553.25	553.56	0.31	0.00	7.31	16.26	0	0	150	148	0	6.79	80.00	7.09	6.79	8.60	1.518	23.884	24	2
491	38.067947	-5.644003	555.00	554.74	-0.26	0.00	14.86	15.17	0	0	150	148	0	3.57	80.00	6.79	3.57	14.55	1.521	23.900	24	3
492	38.068076	-5.644054	556.25	556.97	0.72	0.00	7.09	62.08	0	0	150	151	0	6.96	80.00	3.57	6.96	32.75	1.525	23.916	14	3
493	38.068585	-5.644343	561.25	561.36	0.11	0.00	6.01	15.54	0	0	143	146	0	7.66	80.00	6.96	7.66	7.43	1.534	23.978	14	2
494	38.068722	-5.644378	562.50	562.29	-0.21	0.00	5.83	9.41	0	0	142	139	0	7.80	80.00	7.66	7.66	4.42	1.536	23.993	4	1
495	38.068802	-5.644343	563.25	562.84	-0.41	0.00	5.73	10.34	0	0	142	138	0	7.87	80.00	7.66	7.66	4.85	1.537	24.003	4	1
496	38.068885	-5.644290	564.00	563.43	-0.57	0.00	4.22	15.38	0	0	132	140	0	9.36	80.00	7.66	9.36	6.29	1.539	24.013	14	2
497	38.068959	-5.644142	565.00	564.08	-0.92	0.00	2.21	12.47	0	0	119	130	0	12.84	80.00	9.36	11.31	4.24	1.540	24.028	1	2
498	38.068954	-5.644000	565.00	564.36	-0.64	0.00	0.52	24.97	0	0	106	116	0	18.01	80.00	11.31	14.82	6.75	1.541	24.041	1	3
499	38.068874	-5.643734	564.50	564.49	-0.01	0.00	0.43	18.82	0	0	105	116	0	18.32	80.00	14.82	16.11	4.32	1.543	24.066	1	1
500	38.068800	-5.643541	564.00	564.57	0.57	0.00	1.63	14.14	0	0	114	103	0	14.37	80.00	16.11	15.52	3.34	1.545	24.085	2	1
501	38.068794	-5.643380	564.25	564.80	0.55	0.00	6.49	13.90	0	0	146	132	0	7.34	80.00	15.52	10.38	3.90	1.545	24.099	2	3
502	38.068849	-5.643238	565.25	565.70	0.45	0.00	3.77	41.72	0	0	129	127	0	9.96	80.00	10.38	9.96	15.04	1.547	24.113	24	2
503	38.069113	-5.642900	567.75	567.27	-0.48	0.00	6.35	11.87	0	0	145	132	0	7.43	80.00	9.96	7.43	5.05	1.551	24.154	24	3
504	38.069157	-5.642777	567.75	568.02	0.27	0.00	5.76	95.57	0	0	142	142	0	7.85	80.00	7.43	7.85	43.86	1.552	24.166	14	2
505	38.069298	-5.641704	573.75	573.52	-0.23	0.00	3.05	69.53	0	0	124	128	0	11.11	80.00	7.85	11.11	23.50	1.564	24.262	14	3
506	38.069579	-5.640996	576.75	575.64	-1.11	0.00	-5.55	34.92	0	0	-82	0	0	37.03	37.03	11.11	21.62	7.59	1.571	24.331	10	6
507	38.069725	-5.640644	576.75	573.70	-3.05	0.00	-3.55	136.38	0	0	0	22	0	31.29	38.85	21.62	28.77	18.49	1.573	24.366	1	5
508	38.070143	-5.639183	569.00	568.87	-0.13	0.00	-4.00	21.01	0	0	0	0	0	33.68	38.45	28.77	29.43	2.56	1.578	24.503	10	1
509	38.070238	-5.638976	568.50	568.03	-0.47	0.00	-5.25	22.00	0	0	-48	0	0	37.31	37.31	29.43	31.11	2.61	1.579	24.524	10	2
510	38.070401	-5.638834	567.25	566.88	-0.37	0.00	-6.77	21.84	0	0	-215	0	0	35.88	35.88	31.11	33.60	2.42	1.580	24.546	10	2
511	38.070595	-5.638796	565.25	565.40	0.15	0.00	-7.61	24.84	0	0	-301	0	-301	35.07	35.07	33.60	35.07	2.58	1.580	24.567	105	2
512	38.070806	-5.638888	563.50	563.51	0.01	0.00	-5.87	34.14	0	0	-118	0	0	36.73	36.73	35.07	36.74	3.42	1.581	24.592	10	1
513	38.071076	-5.639073	561.50	561.51	0.01	0.00	-8.75	22.13	0	0	-410	0	-729	33.92	33.92	36.74	33.92	2.33	1.582	24.626	35	2
514	38.071267	-5.639142	559.75	559.58	-0.17	0.00	-5.38	42.92	0	0	-63	0	0	37.19	37.19	33.92	35.66	4.43	1.582	24.649	10	2
515	38.071653	-5.639156	556.00	557.28	1.28	0.00	-2.24	17.13	0	0	13	0	0	24.43	39.99	35.66	34.45	1.77	1.584	24.691	20	1
516	38.071786	-5.639255	556.50	556.89	0.39	0.00	-1.35	20.13	0	0	48	0	0	22.25	80.00	34.45	32.51	2.17	1.584	24.709	20	2
517	38.071906	-5.639427	556.75	556.62	-0.13	0.00	-1.30	43.98	0	0	50	0	0	22.22	80.00	32.51	28.76	5.20	1.585	24.729	20	3
518	38.072151	-5.639821	556.25	556.05	-0.20	0.00	-1.93	28.08	0	0	22	0	0	23.30	80.00	28.76	27.44	3.60	1.586	24.773	20	1
519	38.072309	-5.640071	555.50	555.51	0.01	0.00	-1.72	28.37	0	0	30	0	0	22.76	80.00	27.44	26.06	3.83	1.587	24.801	20	1
520	38.072502	-5.640283	554.75	555.02	0.27	0.00	-0.93	23.45	0	0	71	0	0	22.00	80.00	26.06	24.21	3.38	1.588	24.829	20	2
521	38.072681	-5.640425	554.75	554.80	0.05	0.00	-0.95	18.15	0	0	69	10	0	22.01	80.00	24.21	23.08	2.78	1.589	24.853	2	2
522	38.072829	-5.640513	554.50	554.63	0.13	0.00	-0.48	26.70	0	0	91	32	0	21.46	80.00	23.08	21.46	4.37	1.590	24.871	204	2
523	38.073065	-5.640572	554.50	554.50	0.00	0.00	-1.33	12.11	0	0	49	41	0	22.24	80.00	21.46	21.46	2.03	1.591	24.897	4	1
524	38.073174	-5.640567	554.50	554.34	-0.16	0.00	-0.70	70.00	0	0	82	86	0	21.81	80.00	21.46	21.81	11.60	1.592	24.910	14	2
525	38.073802	-5.640494	553.75	553.85	0.10	0.00	-1.06	17.24	0	0	63	60	0	22.07	80.00	21.81	21.81	2.85	1.595	24.980	4	1
526	38.073957	-5.640506	553.25	553.67	0.42	0.00	1.90	126.99	0	0	116	96	0	13.61	80.00	21.81	13.61	30.53	1.596	24.997	24	6
527	38.075023	-5.641031	552.50	556.08	3.58	0.00	2.02	282.14	0	0	117	117	0	13.32	80.00	13.61	13.32	76.23	1.604	25.124	24	2
528	38.077376	-5.642246	560.00	561.77	1.77	0.00	5.52	28.29	0	0	140	129	0	8.05	80.00	13.32	8.05	10.46	1.625	25.406	24	4
529	38.077624	-5.642318	561.50	563.33	1.83	0.00	5.76	20.25	0	0	142	141	0	7.86	80.00	8.05	7.86	9.27	1.628	25.434	24	2
530	38.077806	-5.642328	563.25	564.50	1.25	0.00	8.68	8.17	0	0	150	140	0	5.83	80.00	7.86	5.83	4.60	1.631	25.454	24	3
531	38.077877	-5.642305	564.25	565.20	0.95	0.00	11.97	10.61	0	0	150	147	0	4.36	80.00	5.83	4.36	8.50	1.632	25.463	24	2
532	38.077961	-5.642249	565.50	566.46	0.96	0.00	9.78	14.13	0	0	150	151	0	5.24	80.00	4.36	5.24	9.83	1.635	25.473	14	2
533	38.078045	-5.642129	567.75	567.84	0.09	0.00	10.31	5.63	0	0	150	148	0	5.00	80.00	5.24	5.00	4.04	1.637	25.487	24	2
534	38.078066	-5.642071	568.50	568.41	-0.09	0.00	10.50	6.69	0	0	150	149	0	4.91	80.00	5.00	4.91	4.90	1.638	25.493	24	2
535	38.078091	-5.642002	569.50	569.11	-0.39	0.00	9.31	7.50	0	0	150	152	0	5.48	80.00	4.91	5.48	5.00	1.640	25.500	14	2
536	38.078106	-5.641919	570.50	569.81	-0.69	0.00	9.78	5.45	0	0	150	148	0	5.24	80.00	5.48	5.24	3.73	1.641	25.507	24	2
537	38.078118	-5.641859	571.25	570.34	-0.91	0.00	10.12	10.83	0	0	150	149	0	5.08	80.00	5.24	5.08	7.66	1.642	25.513	24	2
538	38.078107	-5.641737	572.25	571.43	-0.82	0.00	8.01	22.59	0	0	150	151	0	6.27	80.00	5.08	6.27	13.19	1.644	25.523	14	2
539	38.078061	-5.641487	573.75	573.23	-0.52	0.00	5.63	23.49	0	0	141	144	0	7.96	80.00	6.27	7.96	11.00	1.648	25.546	14	2
540	38.077984	-5.641238	575.25	574.55	-0.70	0.00	4.83	15.93	0	0	136	141	0	8.69	80.00	7.96	8.69	6.70	1.651	25.570	14	2
541	38.077899	-5.641092	575.75	575.32	-0.43	0.00	5.12	29.59	0	0	138	136	0	8.40	80.00	8.69	8.40	12.66	1.653	25.585	24	2
542	38.077694	-5.640877	576.00	576.83	0.83	0.00	6.72	59.57	0	0	148	147	0	7.19	80.00	8.40	7.19	29.60	1.656	25.615	24	2
543	38.077309	-5.640406	580.75	580.83	0.08	0.00	4.78	46.01	0	0	135	138	0	8.74	80.00	7.19	8.74	19.27	1.665	25.675	14	2
544	38.077069	-5.639979	583.75	583.03	-0.72	0.00	2.52	25.44	0	0	121	133	0	12.15	80.00	8.74	11.88	8.57	1.670	25.721	1	2
545	38.076944	-5.639736	583.00	583.67	0.67	0.00	3.87	18.49	0	0	129	117	0	9.82	80.00	11.88	9.95	6.19	1.672	25.746	2	2
546	38.076883	-5.639540	583.00	584.38	1.38	0.00	6.69	16.50	0	0	148	138	0	7.21	80.00	9.95	7.21	7.47	1.674	25.765	24	3
547	38.076908	-5.639355	584.75	585.48	0.73	0.00	10.52	15.21	0	0	150	147	0	4.91	80.00	7.21	4.91	10.66	1.676	25.781	24	3
548	38.076983	-5.639211	587.50	587.08	-0.42	0.00	17.01	22.73	0	0	150	149	0	3.15	80.00	4.91	3.15	25.66	1.679	25.796	24	2
549	38.077141	-5.639052	592.50	590.89	-1.61	0.00	5.83	60.93	0	0	142	144	0	7.80	80.00	3.15	7.80	29.13	1.686	25.819	14	4
550	38.077461	-5.638489	600.50	594.44	-6.06	0.00	5.00	15.57	0	0	137	141	0	8.52	80.00	7.80	8.52	6.68	1.694	25.880	14	2
551	38.077495	-5.638317	601.00	595.21	-5.79	0.00	4.08	17.29	0	0	131	138	0	9.54	80.00	8.52	9.54	6.71	1.696	25.896	14	2
552	38.077480	-5.638121	603.50	595.92	-7.58	0.00	5.45	14.70	0	0	140	131	0	8.10	80.00	9.54	8.10	6.20	1.698	25.913	24	2
553	38.077393	-5.637995	604.50	596.72	-7.78	0.00	3.89	37.90	0	0	130	134	0	9.79	80.00	8.10	9.79	14.32	1.700	25.928	14	2
554	38.077084	-5.637812	604.75	598.19	-6.56	0.00	4.28	21.85	0	0	132	129	0	9.29	80.00	9.79	9.29	8.41	1.704	25.965	24	2
555	38.076891	-5.637764	604.00	599.13	-4.87	0.00	3.32	27.12	0	0	126	132	0	10.64	80.00	9.29	10.64	9.48	1.706	25.987	14	2
556	38.076647	-5.637777	601.75	600.03	-1.72	0.00	6.32	15.71	0	0	145	133	0	7.44	80.00	10.64	7.44	6.60	1.709	26.014	24	3
557	38.076516	-5.637710	600.75	601.02	0.27	0.00	4.69	57.23	0	0	135	137	0	8.83	80.00	7.44	8.83	23.61	1.711	26.030	14	2
558	38.076148	-5.637254	604.00	603.70	-0.30	0.00	4.04	30.70	0	0	131	134	0	9.59	80.00	8.83	9.59	11.64	1.717	26.087	14	2
559	38.075916	-5.637064	604.75	604.94	0.19	0.00	3.35	35.27	0	0	126	130	0	10.59	80.00	9.59	10.59	12.18	1.720	26.118	14	2
560	38.075659	-5.636828	605.25	606.12	0.87	0.00	4.28	20.97	0	0	132	125	0	9.30	80.00	10.59	9.30	7.81	1.724	26.153	24	2
561	38.075528	-5.636656	605.75	607.02	1.27	0.00	6.73	13.83	0	0	148	139	0	7.19	80.00	9.30	7.19	6.41	1.726	26.174	24	3
562	38.075493	-5.636505	607.00	607.94	0.94	0.00	11.71	13.19	0	0	150	146	0	4.45	80.00	7.19	4.45	10.05	1.728	26.188	24	3
563	38.075485	-5.636356	608.75	609.48	0.73	0.00	13.51	21.91	0	0	150	149	0	3.90	80.00	4.45	3.90	20.17	1.731	26.201	24	2
564	38.075536	-5.636117	613.50	612.41	-1.09	0.00	10.70	21.39	0	0	150	151	0	4.83	80.00	3.90	4.83	16.07	1.736	26.223	14	2
565	38.075589	-5.635884	618.00	614.69	-3.31	0.00	8.03	21.84	0	0	150	151	0	6.25	80.00	4.83	6.25	12.84	1.741	26.245	14	2
566	38.075608	-5.635637	622.75	616.44	-6.31	0.00	6.52	13.81	0	0	147	150	0	7.32	80.00	6.25	7.32	7.01	1.744	26.266	14	2
567	38.075580	-5.635484	624.75	617.33	-7.42	0.00	6.28	8.44	0	0	145	142	0	7.47	80.00	7.32	7.32	4.15	1.746	26.280	4	1
568	38.075528	-5.635414	624.75	617.86	-6.89	0.00	12.94	9.55	0	0	150	145	0	4.06	80.00	7.32	4.06	7.69	1.747	26.289	24	3
569	38.075447	-5.635380	623.75	619.09	-4.66	0.00	6.41	56.79	0	0	146	147	0	7.39	80.00	4.06	7.39	28.38	1.749	26.298	14	3
570	38.074962	-5.635178	618.00	622.72	4.72	0.00	5.82	16.99	0	0	142	144	0	7.81	80.00	7.39	7.81	7.89	1.757	26.355	14	2
571	38.074841	-5.635060	618.50	623.71	5.21	0.00	5.62	17.59	0	0	141	142	0	7.97	80.00	7.81	7.97	7.95	1.759	26.372	14	2
572	38.074755	-5.634892	620.25	624.69	4.44	0.00	3.91	30.17	0	0	130	135	0	9.77	80.00	7.97	9.77	11.54	1.762	26.390	14	2
573	38.074721	-5.634551	626.25	625.87	-0.38	0.00	4.95	18.26	0	0	136	130	0	8.56	80.00	9.77	8.56	7.41	1.765	26.420	24	2
574	38.074660	-5.634358	629.00	626.77	-2.23	0.00	3.61	34.64	0	0	128	133	0	10.19	80.00	8.56	10.19	12.62	1.767	26.438	14	2
575	38.074365	-5.634230	626.25	628.02	1.77	0.00	4.48	18.43	0	0	133	126	0	9.05	80.00	10.19	9.05	7.08	1.770	26.473	24	2
576	38.074238	-5.634095	626.75	628.85	2.10	0.00	5.35	26.13	0	0	139	136	0	8.19	80.00	9.05	8.19	11.34	1.772	26.491	24	2
577	38.074107	-5.633848	629.75	630.24	0.49	0.00	6.15	29.10	0	0	144	142	0	7.56	80.00	8.19	7.56	13.78	1.776	26.517	24	2
578	38.073948	-5.633585	632.25	632.03	-0.22	0.00	6.04	23.10	0	0	143	144	0	7.64	80.00	7.56	7.64	10.88	1.779	26.546	14	2
579	38.073807	-5.633392	633.25	633.42	0.17	0.00	8.60	17.84	0	0	150	146	0	5.88	80.00	7.64	5.88	10.52	1.782	26.569	24	2
580	38.073672	-5.633283	632.25	634.95	2.70	0.00	5.77	32.59	0	0	142	144	0	7.85	80.00	5.88	7.85	15.39	1.785	26.587	14	3
581	38.073399	-5.633148	627.25	636.83	9.58	0.00	5.69	13.13	0	0	141	142	0	7.91	80.00	7.85	7.91	5.98	1.790	26.620	14	2
582	38.073315	-5.633043	626.25	637.57	11.32	0.00	5.00	14.99	0	0	137	141	0	8.51	80.00	7.91	8.51	6.41	1.791	26.633	14	2
583	38.073264	-5.632885	626.50	638.32	11.82	0.00	4.40	16.07	0	0	133	138	0	9.15	80.00	8.51	9.15	6.40	1.793	26.648	14	2
584	38.073279	-5.632703	628.50	639.03	10.53	0.00	3.78	40.37	0	0	129	132	0	9.94	80.00	9.15	9.94	14.75	1.795	26.664	14	2
585	38.073414	-5.632276	636.00	640.56	4.56	0.00	1.94	54.76	0	0	117	125	0	13.52	80.00	9.94	13.52	15.84	1.799	26.704	14	3
586	38.073627	-5.631713	647.00	641.62	-5.38	0.00	1.85	14.04	0	0	116	113	0	13.76	80.00	13.52	13.52	3.74	1.803	26.759	4	1
587	38.073631	-5.631553	649.00	641.88	-7.12	0.00	1.93	11.53	0	0	117	116	0	13.55	80.00	13.52	13.52	3.07	1.804	26.773	4	1
588	38.073587	-5.631434	649.00	642.10	-6.90	0.00	4.52	14.31	0	0	134	120	0	9.01	80.00	13.52	10.70	4.31	1.805	26.785	2	2
589	38.073492	-5.631324	647.50	642.74	-4.76	0.00	1.83	75.43	0	0	116	122	0	13.82	80.00	10.70	13.82	20.74	1.806	26.799	14	3
590	38.072871	-5.630975	644.25	644.12	-0.13	0.00	1.45	14.87	0	0	113	102	0	14.88	80.00	13.82	13.82	3.87	1.812	26.875	4	1
591	38.072764	-5.630873	645.00	644.34	-0.66	0.00	0.14	12.25	0	0	102	112	0	19.41	80.00	13.82	15.28	3.04	1.813	26.889	1	1
592	38.072718	-5.630746	645.00	644.35	-0.65	0.00	-1.43	12.37	0	0	44	60	0	22.32	80.00	15.28	16.55	2.76	1.814	26.902	1	1
593	38.072681	-5.630613	643.75	644.18	0.43	0.00	0.85	15.26	0	0	109	106	0	16.83	80.00	16.55	16.55	3.32	1.815	26.914	4	1
594	38.072683	-5.630439	643.00	644.31	1.31	0.00	2.45	75.18	0	0	120	112	0	12.30	80.00	16.55	12.30	20.01	1.816	26.929	24	4
595	38.072958	-5.629656	645.50	646.15	0.65	0.00	3.99	28.59	0	0	130	120	0	9.66	80.00	12.30	9.66	9.76	1.821	27.004	24	3
596	38.073123	-5.629406	646.75	647.29	0.54	0.00	5.36	25.00	0	0	139	134	0	8.19	80.00	9.66	8.19	10.64	1.824	27.033	24	2
597	38.073304	-5.629237	648.50	648.63	0.13	0.00	5.20	23.79	0	0	138	139	0	8.32	80.00	8.19	8.32	10.30	1.827	27.058	14	2
598	38.073490	-5.629103	649.50	649.86	0.36	0.00	11.22	20.22	0	0	150	147	0	4.63	80.00	8.32	4.63	14.76	1.830	27.082	24	4
599	38.073671	-5.629103	651.75	652.12	0.37	0.00	12.08	48.94	0	0	150	150	0	4.33	80.00	4.63	4.33	40.72	1.834	27.102	24	2
600	38.074102	-5.629200	657.75	657.99	0.24	0.00	6.44	46.19	0	0	146	147	0	7.37	80.00	4.33	7.37	23.23	1.845	27.151	14	3
601	38.074500	-5.629350	662.00	660.96	-1.04	0.00	4.25	14.07	0	0	132	143	0	9.32	80.00	7.37	9.32	5.87	1.852	27.197	14	3
602	38.074626	-5.629366	662.50	661.55	-0.95	0.00	1.38	15.57	0	0	113	124	0	15.09	80.00	9.32	12.34	5.07	1.853	27.211	1	3
603	38.074758	-5.629306	662.25	661.77	-0.48	0.00	0.05	58.79	0	0	101	111	0	19.72	80.00	12.34	17.77	13.51	1.855	27.227	1	4
604	38.075144	-5.628847	662.00	661.80	-0.20	0.00	-0.44	21.28	0	0	92	102	0	21.39	80.00	17.77	18.92	4.17	1.859	27.286	1	1
